full_text,sentimen
"“Kalau ini dilompati atas nama program makan bergizi gratis, saya kira ini tidak adil,” ujarnya. Ia mengingatkan, kondisi tersebut justru berisiko mempergelap masa depan pendidikan.

Tonton selengkapnya di film dokumenter “Tak Ada Makan Siang Gratis”
https://t.co/VukCtrNrMB",Negatif
Prabowo Jawab Kritik MBG Dkk: Apa Salahnya Gelontorkan Uang ke Rakyat? https://t.co/rfZt268Ftw,Netral
"""MBG 25 Tahun? 🍱🇮🇩 Program Gizi Diminta Berlanjut Lintas Pemerintahan 🚀""

Asosiasi Pengusaha dan Pengelola Dapur (Makan Bergizi Gratis APPMBGI) mendorong agar program Makan Bergizi Gratis (MBG) bisa berjalan hingga 25 tahun ke depan. https://t.co/otMyiPLoPr",Netral
"Dalam mendukung program Makan Bergizi Gratis ""MBG"", Bulog akan menyalurkan beras premium sebagai bagian dari upaya pemenuhan kebutuhan gizi anak nasional. Hal ini disampaikan Dirut Bulog Ahmad Rizal Ramdhani, Jum'at (23/1) siang. 🎥Fae

#MakanBergiziGratis
#MBG #Bulog
#GiziAnak https://t.co/r9Ku5wAiyC",Netral
"Melihat senyum lebar adik-adik ini saat menyantap makan siang, rasanya seperti melihat harapan yang sedang tumbuh. Program Makan Bergizi Gratis (MBG) bukan sekadar soal mengisi perut, tapi tentang memastikan tidak ada mimpi yang terhambat karena rasa lapar. https://t.co/s4kB1GC1wk",Positif
"Eh kocak. Klo SOP dapur MBG bener dan dananya ga si korupsi ni proyek bisa aja jadi kek model sekolah luar negeri yang punya makan siang gratis beneran bergizi buat siswanya. Makanannya di masak menjelang MAKAN SIANG, MASIH FRESH. Bukan yang bisa aja diakalin",Negatif
"Presiden Prabowo Subianto resmi membuka rangkaian retret jilid II Kabinet Merah Putih yang digelar di Padepokan Garuda Yaksa, Desa Bojongkoneng, Hambalang, Bogor, Selasa (6/1/2026) siang. Prabowo menyatakan program Makan Bergizi Gratis (MBG) yang berjalan 1 tahun ini telah https://t.co/m7OImoapgt",Netral
"Tidak ada yang namanya makan siang gratis.” – Milton Friedman. 

Narasi “Gratis” dalam program Makan Bergizi seringkali mengaburkan realita bahwa program ini dibiayai oleh APBN, yang sumber utamanya adalah Pajak Rakyat. Ketika kita menyebutnya “Gratis”, seolah-olah negara sedang https://t.co/368ZuIk7H4",Negatif
"Program Makan Bergizi Gratis (MBG) yang dicanangkan pemerintah menjadi instrumen penting dalam mendukung kegiatan belajar mengajar di sekolah. Bagi sebagian siswa, ketersediaan makan siang di sekolah bukan sekadar asupan makanan, melainkan momen krusial untuk menjaga ketersediaan https://t.co/MYIuesay9l",Positif
"Menu MBG hari ini:
Nasi - Semur sapi - Capcay Tofu - Mustofa
MasyaAllah nikmat 🫶🏻
Selamat makan siang…

Notes : Makan Bergizi Gratis yg ini bukan dari uang rakyat 😆 https://t.co/v9d9sVnQas",Positif
"MAKAN SIANG GRATIS: KEBIJAKAN TANPA DASAR? 🚨
YLBHI resmi menggugat Anggaran Makan Bergizi Gratis (MBG) di UU APBN 2026 ke Mahkamah Konstitusi! ⚖️
M. Isnur (YLBHI) membongkar kebobrokan di baliknya:
❌ Tanpa Dasar Hukum: Kebijakan ""suka-suka"" yang muncul tiba-tiba tanpa https://t.co/g9KpPw84Pz",Negatif
"Program Makan Bergizi Gratis (MBG) memang datang dengan tantangan besar, dari distribusi yang kompleks, risiko keamanan pangan, sampai beban anggaran negara yang tidak sedikit.

Tapi tujuannya satu, meningkatkan kualitas manusia Indonesia dari hal paling dasar: Gizi!

Prof. Arif https://t.co/qgBYiMXkeY",Positif
"Lahapnya Anak-anak TK di Pulau Terluar Natuna Menyantap MBG: Enak Sekali

Natuna - Di sebuah ruang kelas sederhana di Pulau Serasan, siang itu terasa berbeda. Satu per satu ompreng berisi makan bergizi gratis dibagikan kepada anak-anak taman kanak-kanak (TK). Mereka duduk rapi di https://t.co/teC7260CsD",Positif
"Makan siang sushi
Makan sore sushi
The real makan bergizi gratis",Positif
"Malam Guiz, besok udah #JumatBerkah lagi aja. Setelah minggu lalu bagi² minuman, besok aku kembali masak Ayam Geprek. Sudah full yak. Yg belum ada besok itu minumannya. Siapa tau ada yg mau nambahin, nanti minumannya dibelikan ke UMKM deketan Masjid. DM/mention silahkan 🙏🏼☺️ https://t.co/L9wykUVt6S",Netral
"Program Makan Bergizi Gratis (MBG) telah menjadi salah satu ikhtiar negara yang paling strategis dalam membangun kualitas sumber daya manusia Indonesia melalui pemenuhan gizi yang lebih merata, terukur, dan terorganisasi.
https://t.co/W1bH2b212w",Positif
"pad! guys, ada yg free hari selasa (28 april) dari pagi sampai siang gaa? kalau free dan willingly ikut berkegiatan di unpad tolong rep yaa, sudah free snack dan makan siang gratis plus bergizi. masih butuh banyak nih!",Netral
keren pemerintah berhasil menyediakan MBG alias Makanan Beracun Gratis untuk rakyat yeyy,Negatif
