full_text,sentimen
"Program Makan Bergizi Gratis (MBG) hadir tanpa diskriminasi. Anak-anak berkebutuhan khusus juga mendapatkan hak yang sama atas asupan gizi seimbang, sebagai bentuk kepedulian negara terhadap tumbuh kembang mereka 🥰💝

Sehat kuat selalu nak 🙏❤ https://t.co/ZHNyDjF9Zn",Positif
"Ahli gizi bukan tukang masak tapi pekerjaan krusial untuk meracik menu agar MBG benar benar menghasilkan makanan yang bergizi dan sehat 

Di Program Makan Bergizi Gratis (MBG), ahli gizi punya peran krusial dan tidak bisa direduksi jadi “orang dapur”.

Masalah MBG bukan cuma soal https://t.co/tN2kuoVz2i",Positif
"Yang klinis dibantah, yang klenik disembah. Yang pakar diragukan, yang sensasional dipertontonkan. Orang pintar dibilang bodoh, orang bodoh merasa pintar. Ternyata, sebaik-baiknya makan bergizi gratis, negeri ini lebih membutuhkan pendidikan gratis",Negatif
"Bagi pemerhati ekonomi dan pendidikan seperti saya.
Makan Bergizi Gratis (MBG) adalah strategi cerdas ""hilirisasi manusia"" yang sangat logis secara ekonomi, kalau bicara bangsa yang maju, kita tidak boleh hanya bicara membangun infrastruktur saja.

Kita tidak bisa mengharapkan https://t.co/upyFXWlKhG",Positif
"Menu Makan Bergizi Gratis (MBG) Mentah
📍SMAN 1 Cigemblong, Kabupaten Lebak. https://t.co/hnXeE7B39o",Netral
"BISNIS DAPUR MBG PANEN UNTUNG BESAR TIAP HARI, RAKYAT JADI KORBAN MAKANAN ABAL-ABAL? 

Program Makan Bergizi Gratis (MBG) di SDN 4 Krandengan, Banjarnegara, mendapat penolakan keras dari para orang tua siswa. https://t.co/yiNafI1IoQ",Negatif
"QProgram Makan Bergizi Gratis (MBG) terus diperkuat untuk memastikan anak-anak mendapatkan asupan gizi yang sehat dan aman. Menu disusun seimbang agar menunjang tumbuh kembang dan semangat belajar.
Tak hanya berdampak pada kesehatan, program ini juga menggerakkan ekonomi lokal https://t.co/ey8uchfgiq",Positif
"Seluruh masyarakat Papua mendukung Program Makan Bergizi Gratis (MBG) sebagai langkah nyata meningkatkan kesehatan, kecerdasan, dan masa depan generasi Papua. #DukungMBG #PapuaDukungMBG #PapuaSehat #GenerasiEmasPapua #MBGUntukRakyat https://t.co/egaai5rzOY",Positif
"::
MAKAN BER⁴CÙN GRATIS
SMA 2 KUDUS, JAWA TENGAH
KAMIS, 29 JANUARI 2026

#HentikanMBG
#MBGSaranaMoneyLaundry
•• https://t.co/jBz8GCgsuQ",Netral
"Anggaran awal program Makan Bergizi Gratis (MBG) dalam APBN 2025 sebesar Rp 71 triliun, atau setara sekitar Rp 190 miliar per hari jika dibagi rata. Namun, pemerintah menargetkan MBG berjalan penuh secara nasional dengan kebutuhan anggaran mencapai sekitar Rp 1 triliun per hari. https://t.co/Rd83Q35xDT",Netral
