full_text,sentimen
"“Kalau ini dilompati atas nama program makan bergizi gratis, saya kira ini tidak adil,” ujarnya. Ia mengingatkan, kondisi tersebut justru berisiko mempergelap masa depan pendidikan.

Tonton selengkapnya di film dokumenter “Tak Ada Makan Siang Gratis”
https://t.co/VukCtrNrMB",negatif
"Program MBG (Makan Bergizi Gratis) bukan sekadar makan siang — tapi harapan baru bagi jutaan anak Indonesia.
Harapan untuk tumbuh sehat, cerdas, dan kuat menghadapi masa depan 💪🇮🇩 https://t.co/40TP8PhCE0",positif
"Kematian seorang siswi SMK di Bandung Barat, Jawa Barat, menjadi sorotan karena sempat terjadi insiden keracunan massal Makan Siang Bergizi (MBG) massal di Bandung Barat pada 24 September lalu, enam hari sebelum kematiannya.  https://t.co/iBvOU0g9Q7",negatif
Prabowo Jawab Kritik MBG Dkk: Apa Salahnya Gelontorkan Uang ke Rakyat? https://t.co/rfZt268Ftw,netral
"Rakor penyelenggaraan Makan Bergizi Gratis yang digelar di Gedung Sate Bandung Rabu siang menghasilkan tiga fokus utama dalam pelaksanaan MBG di Jabar, diantaranya pelibatan perbankan daerah dalam hal peredaran anggaran MBG 54 triliun rupiah, Rabu (17/12). 🎥Buh
#MBG #Bandung https://t.co/uxmgbNWheC",netral
"Makan siang sushi
Makan sore sushi
The real makan bergizi gratis",positif
"saw someone said “Makan Bergizi Gratis tanpa ahli gizi itu bukan MBG lagi, tapi Makan Siang Gratis alias MSG” anjeng 😭😭😭😭😭",positif
"""MBG 25 Tahun? 🍱🇮🇩 Program Gizi Diminta Berlanjut Lintas Pemerintahan 🚀""

Asosiasi Pengusaha dan Pengelola Dapur (Makan Bergizi Gratis APPMBGI) mendorong agar program Makan Bergizi Gratis (MBG) bisa berjalan hingga 25 tahun ke depan. https://t.co/otMyiPLoPr",netral
"Puluhan siswa dari tiga sekolah di Kabupaten Sumedang Jawa Barat, diduga mengalami keracunan makanan, usai menyantap menu Makan Bergizi Gratis (MBG) di sekolahnya, Kamis siang (25/9/2025). 

Selalu update di https://t.co/KR6X4XL0d4, Youtube BeritaSatu, dan BeritaSatu TV! https://t.co/89XjixUMsK",negatif
"Pendidikan adalah kunci mencapai kemerdekaan. Program Presiden Prabowo Subianto untuk memajukan Pendidikan adalah langkah krusial untuk mewujudkan GenerasiEmas2045. Digitalisasi Pembelajaran, Makan Siang Bergizi Gratis, Revitalisasi Sekolah, dan program membangun lainnya dapat https://t.co/IGRDAxnXtt",netral
"Dalam mendukung program Makan Bergizi Gratis ""MBG"", Bulog akan menyalurkan beras premium sebagai bagian dari upaya pemenuhan kebutuhan gizi anak nasional. Hal ini disampaikan Dirut Bulog Ahmad Rizal Ramdhani, Jum'at (23/1) siang. 🎥Fae

#MakanBergiziGratis
#MBG #Bulog
#GiziAnak https://t.co/r9Ku5wAiyC",netral
"Sebanyak 16 siswa SDN 12 Benua Kayong, Kabupaten Ketapang, diduga keracunan usai menyantap menu Makan Bergizi Gratis (MBG) yang disajikan oleh Dapur Mitra Mandiri 2. Insiden terjadi saat jam makan siang, ketika siswa menikmati nasi, ikan hiu fillet, tahu goreng, oseng kol wortel, https://t.co/16jhv743xi",negatif
"Melihat senyum lebar adik-adik ini saat menyantap makan siang, rasanya seperti melihat harapan yang sedang tumbuh. Program Makan Bergizi Gratis (MBG) bukan sekadar soal mengisi perut, tapi tentang memastikan tidak ada mimpi yang terhambat karena rasa lapar. https://t.co/s4kB1GC1wk",positif
"Eh kocak. Klo SOP dapur MBG bener dan dananya ga si korupsi ni proyek bisa aja jadi kek model sekolah luar negeri yang punya makan siang gratis beneran bergizi buat siswanya. Makanannya di masak menjelang MAKAN SIANG, MASIH FRESH. Bukan yang bisa aja diakalin",positif
"USAI INSIDEN CABUT ID PERS  KARENA TANYA SOAL MBG , KINI DUA WARTAWAN MENDAPAT TINDAKAN KEKERASAN SAAT LIPUTAN MBG DI JAKTIM

Dua orang wartawan diduga dianiaya saat hendak meliput penyajian makan bergizi gratis (MBG) di Pasar Rebo, Jakarta Timur, Selasa (30/9/2025) siang. https://t.co/QDqP5rYap9",netral
"Presiden Prabowo Subianto resmi membuka rangkaian retret jilid II Kabinet Merah Putih yang digelar di Padepokan Garuda Yaksa, Desa Bojongkoneng, Hambalang, Bogor, Selasa (6/1/2026) siang. Prabowo menyatakan program Makan Bergizi Gratis (MBG) yang berjalan 1 tahun ini telah https://t.co/m7OImoapgt",netral
"Tidak ada yang namanya makan siang gratis.” – Milton Friedman. 

Narasi “Gratis” dalam program Makan Bergizi seringkali mengaburkan realita bahwa program ini dibiayai oleh APBN, yang sumber utamanya adalah Pajak Rakyat. Ketika kita menyebutnya “Gratis”, seolah-olah negara sedang https://t.co/368ZuIk7H4",positif
"Program Makan Bergizi Gratis (MBG) yang dicanangkan pemerintah menjadi instrumen penting dalam mendukung kegiatan belajar mengajar di sekolah. Bagi sebagian siswa, ketersediaan makan siang di sekolah bukan sekadar asupan makanan, melainkan momen krusial untuk menjaga ketersediaan https://t.co/MYIuesay9l",positif
"Pidie udah banjir lagi. Tapi pemerintah justru masih enggan buat menetapkan banjir jadi bencana nasional. Mereka terlalu sibuk dengan makan siang gratis yang sebenarnya jauh dari kata bergizi itu. For the umpteenth time, kenapa aku wni.",negatif
"Setidaknya ada 168 siswa SMAN 1 Jetis Bantul mengalami keracunan, diduga karena mengkonsumsi hidangan Makan Bergizi Gratis (MBG) yang disajikan pada makan siang Jumat (31/10/2025). 

Kemudian setelah makan, beberapa jam kemudian siswa yang sempat makan MBG mengeluh mengalami https://t.co/X55CcGHqoo",netral
"Anak-anak SDN Toworo Tengah tampak riang menyambut makan bergizi gratis. Wajah mereka penuh senyum, menikmati hidangan lezat yang menambah semangat belajar. Program ini bukan sekadar makan siang, tapi juga langkah menuju generasi sehat dan cerdas. https://t.co/rLNtQAYfFo",positif
"Makan Bergizi Gratis Ngaco

Kemarin  hari ketiga siswa SMA di Kota Kediri mendapat MBG. Anak saya kelas X.Hari pertama makanan datang hampir pukul 3 siang sudah mau pulang. Katanya, sayurnya kecut. Hari ke 2 jadwal makan lumayan tepat waktu tapi rasanya hambar. Lha kemarin hari https://t.co/UDAMSdJ2CO",negatif
"Menu MBG hari ini:
Nasi - Semur sapi - Capcay Tofu - Mustofa
MasyaAllah nikmat 🫶🏻
Selamat makan siang…

Notes : Makan Bergizi Gratis yg ini bukan dari uang rakyat 😆 https://t.co/v9d9sVnQas",positif
"MAKAN SIANG GRATIS: KEBIJAKAN TANPA DASAR? 🚨
YLBHI resmi menggugat Anggaran Makan Bergizi Gratis (MBG) di UU APBN 2026 ke Mahkamah Konstitusi! ⚖️
M. Isnur (YLBHI) membongkar kebobrokan di baliknya:
❌ Tanpa Dasar Hukum: Kebijakan ""suka-suka"" yang muncul tiba-tiba tanpa https://t.co/g9KpPw84Pz",negatif
"Program Makan Bergizi Gratis (MBG) memang datang dengan tantangan besar, dari distribusi yang kompleks, risiko keamanan pangan, sampai beban anggaran negara yang tidak sedikit.

Tapi tujuannya satu, meningkatkan kualitas manusia Indonesia dari hal paling dasar: Gizi!

Prof. Arif https://t.co/qgBYiMXkeY",positif
"PULUHAN siswa di Desa Sirnagalih, Kecamatan Cipongkor, Kabupaten Bandung Barat, mengalami keracunan usai mengonsumsi makan siang dari program Makan Bergizi Gratis (MBG), Senin (22/9).
https://t.co/90haZHLlEF",netral
"Program Makan Bergizi Gratis (MBG) bukan cuma soal makan siang. Ini tentang pemerataan gizi, peningkatan fokus belajar, dan keringanan biaya keluarga.
Satu program, tiga dampak besar: sehat, cerdas, sejahtera. 💪🇮🇩
Kamis Pagiii https://t.co/tdz7I7OsR1",netral
